Adjective	Frequency	ComparativeFrequency	OddsRatio	LoggedOdds	Probability	Beta
abdominal	490	0	0	-Inf	0	-3.66356164612965
aberrant	75	2	0.421485791022834	-0.863969212611798	0.29651073101445	-0.815662364606467
abject	112	5	0.718890803084203	-0.330045806113226	0.418229477866947	-0.313264943215006
able	25768	273	0.164137900383867	-1.80704834848011	0.14099523804675	-1.66609526396227
ablaze	154	0	0	-Inf	0	-3.66356164612965
abnormal	749	5	0.103377658798882	-2.26936640602822	0.0936919992665221	-2.05044524675563
abominable	78	5	1.05372275288833	0.052329372716895	0.513079358645847	0.049711797901493
aboriginal	205	0	0	-Inf	0	-3.66356164612965
above	2554	2	0.0120515218076405	-4.41856433592902	0.0119080121396538	-3.27860185012113
abrasive	216	5	0.36454954814792	-1.0090928022095	0.267157428356278	-0.950424015956582
abreast	179	2	0.173830046557196	-1.74967720101696	0.148087917043045	-1.61653333154759
abrupt	455	6	0.205568928638655	-1.58197388212008	0.1705161138076	-1.46968624335049
absent	1349	8	0.0917593054815711	-2.38858637504787	0.0840471933885614	-2.14451559032525
absolute	3007	22	0.113334370250028	-2.17741280081694	0.101797243737814	-1.97636016470777
abstemious	21	2	1.61940765620632	0.482060438063023	0.618234299029156	0.457085650256438
abstract	1755	133	1.26156916838049	0.232356317861799	0.55782913298376	0.22064148700778
abstruse	39	5	2.26241974815874	0.816434925535778	0.693479050154603	0.771314129002253
absurd	890	33	0.592360681970292	-0.523639569536754	0.372001575194221	-0.496338599852559
abundant	542	85	2.86183455213713	1.05146287098569	0.741055711605614	0.989569722072817
abysmal	73	0	0	-Inf	0	-3.66356164612965
academic	4368	35	0.124187460983785	-2.08596307284199	0.110468640946331	-1.90144329633802
acanthus	61	0	0	-Inf	0	-3.66356164612965
accentual	18	0	0	-Inf	0	-3.66356164612965
accessible	1525	205	2.38998085047481	0.871285353557682	0.70501308293233	0.822479562623459
accessory	74	0	0	-Inf	0	-3.66356164612965
accidental	679	10	0.229940109366165	-1.46993639802751	0.186952281346985	-1.37009395334045
accurate	2645	409	2.81598541208077	1.03531225791333	0.737944490868815	0.974659531166653
accursed	31	1	0.512810122164049	-0.667849634561033	0.338978510687437	-0.632121785617391
acetic	101	0	0	-Inf	0	-3.66356164612965
acid	45	6	2.36684330342624	0.861557127844614	0.70298588028069	0.813414266869281
acidic	177	17	1.63461457155274	0.491407040505733	0.620437839068566	0.46591293183288
acoustic	461	4	0.134646010286068	-2.00510609041923	0.118667856816525	-1.83423561219208
acquisitive	66	4	0.992538110626946	-0.00748986854142978	0.498127541618086	-0.00711537187118297
acrid	111	1	0.139855402189434	-1.96714623162521	0.122695740109491	-1.80238528996109
acrimonious	127	7	0.897418065903304	-0.108233454259665	0.472968020084741	-0.102811990898409
acrobatic	43	1	0.366292196459736	-1.00432391311052	0.268092138276756	-0.946012081479616
active	6655	446	1.10519876134187	0.100025193311765	0.524985470083313	0.0950162063271613
actual	5452	5	0.0141089443565552	-4.26094633118516	0.0139126515302626	-3.22550789504174
actuarial	190	0	0	-Inf	0	-3.66356164612965
acute	2173	148	1.12443468178385	0.117280404277374	0.529286539814763	0.111403926457887
adamant	353	6	0.266000147187225	-1.32425841686516	0.210110676351988	-1.23902845465426
additional	6747	7	0.0159597710834522	-4.13768403020543	0.0157090581120472	-3.1800451010575
additive	131	0	0	-Inf	0	-3.66356164612965
adept	233	26	1.93239626363488	0.658760820160164	0.658981968978353	0.623582400429942
adequate	3299	48	0.227047880744736	-1.48259435535209	0.185035877008266	-1.38140102557108
adjacent	973	3	0.0475729591718594	-3.04549076379077	0.0454125497945913	-2.61558790299676
adjectival	66	0	0	-Inf	0	-3.66356164612965
adjuvant	31	0	0	-Inf	0	-3.66356164612965
administrative	3351	13	0.0598830590125226	-2.81536163502207	0.0564996850391352	-2.46049153628627
admirable	444	19	0.687755049745184	-0.374322536790474	0.407496958666496	-0.35519956430626
admissible	221	0	0	-Inf	0	-3.66356164612965
admonitory	13	0	0	-Inf	0	-3.66356164612965
adoptive	122	0	0	-Inf	0	-3.66356164612965
adorable	50	1	0.313964365851052	-1.15847578406453	0.238944353447286	-1.08798908567076
adrenal	23	0	0	-Inf	0	-3.66356164612965
adrift	202	1	0.0765365971191165	-2.5699862588295	0.0710952115552165	-2.28300313427416
adroit	34	6	3.29668077181265	1.19291613556584	0.767262207013315	1.11951690699667
adult	496	27	0.885657658097784	-0.121424793453886	0.469681044326582	-0.115339727813988
advance	570	2	0.0541652660472638	-2.91571542380374	0.05138213882759	-2.52954082383403
advantageous	347	55	2.89800890952884	1.06402391826535	0.74345877005169	1.00115615389589
adventitious	21	0	0	-Inf	0	-3.66356164612965
adverbial	49	0	0	-Inf	0	-3.66356164612965
adverse	1111	13	0.182118291206775	-1.70309885134688	0.154060970514937	-1.57603383036342
adversative	14	0	0	-Inf	0	-3.66356164612965
advertising	80	3	0.599386798992556	-0.511848148044875	0.374760376520618	-0.485211097959935
advisable	506	4	0.122575210145108	-2.09903047702569	0.10919108941419	-1.91222104425845
advisory	1524	4	0.0404750629758321	-3.20706922350039	0.0389005603460314	-2.7173804475665
aerial	480	4	0.129271066693889	-2.04584378704639	0.114473017600946	-1.86820663059408
aerobic	207	2	0.150086690943323	-1.89654221220651	0.130500328475429	-1.74266053737894
aesthetic	1089	6	0.0852174429485034	-2.46254913665855	0.0785256848774658	-2.20168362786175
affable	104	5	0.776984046900486	-0.252335460484873	0.437248746411508	-0.239594391095148
afferent	38	1	0.415791495684166	-0.877571356667422	0.293681306146877	-0.828334999458292
affirmative	134	1	0.115669428807621	-2.15701890780735	0.103677151870374	-1.95975749765988
afghan	269	1	0.0574017933890756	-2.85767973243257	0.0542856970244936	-2.48986967104313
afire	16	0	0	-Inf	0	-3.66356164612965
aflame	21	0	0	-Inf	0	-3.66356164612965
afloat	210	0	0	-Inf	0	-3.66356164612965
afoot	83	1	0.187611799259354	-1.6733803485491	0.157974010847953	-1.55007587099407
aforementioned	109	0	0	-Inf	0	-3.66356164612965
aforesaid	38	0	0	-Inf	0	-3.66356164612965
afraid	4901	51	0.161661567944204	-1.82225021569957	0.139164083933927	-1.67916642326907
african	4048	23	0.0878556057454319	-2.43206065596443	0.0807603557691193	-2.17823229621309
afrikaans	12	0	0	-Inf	0	-3.66356164612965
aft	66	0	0	-Inf	0	-3.66356164612965
after	102	0	0	-Inf	0	-3.66356164612965
agape	12	0	0	-Inf	0	-3.66356164612965
ageless	43	0	0	-Inf	0	-3.66356164612965
aggregate	1071	2	0.0287775940798223	-3.54815817796583	0.027972609673291	-2.91178652432533
aghast	145	1	0.106833369691681	-2.23648495096183	0.0965216378698816	-2.02410146708174
agile	135	21	2.83405854811908	1.04170980023614	0.739179778438547	0.980567415738985
aglow	39	0	0	-Inf	0	-3.66356164612965
agnostic	36	0	0	-Inf	0	-3.66356164612965
agog	24	1	0.668883564762122	-0.402145277705126	0.400797023162885	-0.381533155005987
agrarian	318	0	0	-Inf	0	-3.66356164612965
agricultural	3713	11	0.0456850430786633	-3.08598431958216	0.0436891044593688	-2.64166412398671
airy	239	7	0.464172911724737	-0.767498141595179	0.317020556798828	-0.72556127894842
ajar	120	0	0	-Inf	0	-3.66356164612965
akin	383	61	2.91473077784973	1.06977745802428	0.744554592193623	1.00646034823777
albanian	311	0	0	-Inf	0	-3.66356164612965
albino	37	0	0	-Inf	0	-3.66356164612965
alchemical	41	0	0	-Inf	0	-3.66356164612965
alcoholic	640	5	0.121125047028155	-2.11093182050994	0.108038837727539	-1.92201625961442
alert	675	46	1.12510207349067	0.117873763532188	0.52943436813018	0.111967427648251
algebraic	119	0	0	-Inf	0	-3.66356164612965
algerian	195	0	0	-Inf	0	-3.66356164612965
alien	873	16	0.287192397252887	-1.24760291411916	0.223115361670726	-1.16942135176641
alight	235	0	0	-Inf	0	-3.66356164612965
alike	241	10	0.665980084003022	-0.406495512788245	0.399752728377642	-0.385649252086879
alimentary	43	0	0	-Inf	0	-3.66356164612965
alive	3693	37	0.155613140544344	-1.86038222000449	0.134658507319364	-1.71183714092853
allegorical	84	0	0	-Inf	0	-3.66356164612965
allergic	187	1	0.0827091144513877	-2.49242547200487	0.0763908914660765	-2.22450575895462
allied	1297	5	0.0595246171024695	-2.82136531917976	0.0561804946686884	-2.46468228932376
almighty	314	6	0.299683972881266	-1.2050267832958	0.230582187004197	-1.13058543217229
alone	4747	20	0.0650424051945866	-2.73271583418976	0.0610702492946308	-2.40204698434574
aloof	221	7	0.503217034431083	-0.686733721960844	0.334760066513971	-0.649855666942134
alphabetic	43	0	0	-Inf	0	-3.66356164612965
alpine	456	3	0.101876005799968	-2.28399883458673	0.0924568692518224	-2.06211414277396
alternate	347	0	0	-Inf	0	-3.66356164612965
alternative	4740	6	0.019483131477162	-3.93820624023946	0.0191107933771619	-3.09883698405636
altruistic	128	5	0.625374849623846	-0.469404049631369	0.38475730676439	-0.445129297053826
amateur	1123	7	0.0964802117498402	-2.33841735125194	0.087990837149601	-2.10521177523495
amateurish	62	1	0.252200369067033	-1.37753139206209	0.201405761647345	-1.28715070762019
amatory	16	0	0	-Inf	0	-3.66356164612965
amazonian	103	0	0	-Inf	0	-3.66356164612965
amber	234	0	0	-Inf	0	-3.66356164612965
ambient	132	0	0	-Inf	0	-3.66356164612965
ambiguous	762	37	0.785111118975285	-0.241930018382627	0.439810782998184	-0.22972399225567
ambitious	1432	249	3.23958420816127	1.17544499075471	0.764127812799429	1.1035325950052
ambulatory	92	0	0	-Inf	0	-3.66356164612965
amenable	304	62	3.94192045594923	1.37166802992451	0.797649515221118	1.28186480011043
american	14407	52	0.0556001636071452	-2.88956913515538	0.0526716132907284	-2.51175753362822
amiable	261	16	1.00469191412314	0.0046809414027228	0.501170233213912	0.00444689354091174
amicable	160	6	0.599383652774404	-0.511853397120122	0.374759146584167	-0.485216052246363
amoral	41	0	0	-Inf	0	-3.66356164612965
amorous	96	1	0.161938247451088	-1.82054020499411	0.139369065272038	-1.67769739899904
amorphous	181	6	0.527455729600051	-0.639690342082623	0.345316541343008	-0.605656194576698
amphibian	33	0	0	-Inf	0	-3.66356164612965
ample	765	12	0.24514508297255	-1.40590506830591	0.196880738096249	-1.31269213514098
anachronistic	116	1	0.133774618711587	-2.01159884501057	0.117990486383976	-1.83966462118381
anaerobic	124	1	0.12507366023922	-2.07885243332448	0.111169307983467	-1.89556861241993
anal	468	1	0.0329403847663038	-3.41305587347804	0.0318899185781727	-2.83818213002589
analogical	34	2	0.961521168903584	-0.0392386976552746	0.490191584035281	-0.0372762964199325
analogous	489	8	0.255857046677821	-1.36313640188706	0.203731027631411	-1.2741686904014
analytic	224	6	0.423413198525222	-0.859406748057684	0.297463307888331	-0.811409869313127
anarchic	108	2	0.290266886503259	-1.23695448092935	0.224966547262101	-1.15971970528166
ancestral	254	0	0	-Inf	0	-3.66356164612965
ancient	4599	107	0.366279434926489	-1.00435875348026	0.268085301998413	-0.946044318314032
ancillary	339	0	0	-Inf	0	-3.66356164612965
angelic	83	7	1.41698650268136	0.348532435385379	0.586261653140959	0.330777614884584
anglican	513	2	0.0602077681897191	-2.80995389529594	0.0567886502968399	-2.45671033997742
angry	3852	94	0.384661818136992	-0.955390725158193	0.277801996919753	-0.900674549009277
angular	416	14	0.535756087763503	-0.624076281625341	0.348854933431334	-0.590970590574858
animal	20	3	2.71489733700484	0.998754139413075	0.730813557069586	0.940857714652943
animate	55	8	2.61864528986857	0.962657119113175	0.723653489111026	0.907414580089781
annual	7513	5	0.0102323445908214	-4.58220153751453	0.0101287041991967	-3.32802236840932
annular	17	0	0	-Inf	0	-3.66356164612965
anodyne	42	3	1.18341235777714	0.168402093809571	0.542001309813019	0.159945089252003
anomalous	256	8	0.496258544849201	-0.700658228289281	0.331666306306184	-0.662924404214031
anonymous	1010	10	0.153821268040346	-1.87196394772353	0.13331464092493	-1.72172653354537
answerable	171	1	0.0904937480751463	-2.40247451270511	0.0829841970528293	-2.15532158456542
ant	11	0	0	-Inf	0	-3.66356164612965
antarctic	398	0	0	-Inf	0	-3.66356164612965
antecedent	128	0	0	-Inf	0	-3.66356164612965
antediluvian	16	0	0	-Inf	0	-3.66356164612965
anterior	185	2	0.168130529108901	-1.7830146422737	0.143931285861656	-1.64537713991365
anthropoid	17	0	0	-Inf	0	-3.66356164612965
anti	174	3	0.269895001746588	-1.30972227803819	0.212533320766976	-1.22586107817857
antiphonal	13	0	0	-Inf	0	-3.66356164612965
antique	675	6	0.137962620950888	-1.98077249318958	0.1212365137579	-1.81383982623447
antiquarian	23	0	0	-Inf	0	-3.66356164612965
antiquated	121	1	0.128200567190227	-2.05415931024461	0.113632780303868	-1.87511362695711
antiseptic	122	0	0	-Inf	0	-3.66356164612965
antisocial	46	2	0.699286694943752	-0.357694470702779	0.411517783917504	-0.339454898862862
anxious	2804	88	0.498346177408022	-0.696460308094684	0.332597489767089	-0.658985172595953
apathetic	90	3	0.530490861930853	-0.63395254646599	0.346614850912335	-0.600260453553
aphrodisiac	16	0	0	-Inf	0	-3.66356164612965
apologetic	211	11	0.846134375245425	-0.167077096001513	0.458327620454465	-0.158687206056244
apoplectic	23	1	0.699287482151356	-0.357693344973993	0.411518056536281	-0.33945383278086
apostate	19	2	1.8099268199501	0.593286413493584	0.644118845764902	0.561990176176863
apostolic	104	1	0.149360316169369	-1.90139366292332	0.129950820528729	-1.74678407446771
apparent	5014	218	0.699116561454591	-0.35793779606579	0.411458858864919	-0.339685331121658
appellate	135	0	0	-Inf	0	-3.66356164612965
applicable	1320	24	0.284850290094061	-1.25579153464635	0.221699206740427	-1.17687665627078
applied	901	11	0.190120230807854	-1.66009861322563	0.159748759735645	-1.53844581077651
apposite	74	13	3.27870779392778	1.18744937950543	0.766284577456032	1.11451747366831
appreciable	221	0	0	-Inf	0	-3.66356164612965
appreciative	160	18	1.95017262216485	0.667917892844721	0.661036783920055	0.632185907489837
apprehensive	261	5	0.300466272061749	-1.20241977070136	0.231045032475462	-1.12820355481481
appropriate	10197	819	1.34428431228528	0.295861761608058	0.573430579746887	0.280868154669813
approximate	353	2	0.08765529129195	-2.43434330101771	0.0805910585768681	-2.17999366824854
apricot	166	2	0.187609672583104	-1.67339168412773	0.157972503015275	-1.5500857893331
apt	576	56	1.6568715793756	0.504931233555426	0.623617487663814	0.478682056225046
aquamarine	42	1	0.375226216319755	-0.980226191370611	0.272846904652457	-0.923700170095985
aquatic	378	11	0.461095547745697	-0.774149995540022	0.315582063375058	-0.731785836898677
aqueous	95	1	0.163661022613345	-1.80995792550119	0.140643210894695	-1.66859905666916
arab	2135	17	0.123442488986284	-2.09197990759937	0.10987877901758	-1.90640882255426
